Longitude,Latitude,StationName,Date-Time,Year,Month,TempMax,TempMin,Precip
-79.93,43.17,HAMILTON A,1990-01,1990,1,2.3,-4.2,65.1
-79.93,43.17,HAMILTON A,1990-02,1990,2,1.2,-7.6,139.1
-79.93,43.17,HAMILTON A,1990-03,1990,3,5.4,-3.2,42.5
-79.93,43.17,HAMILTON A,1990-04,1990,4,13.6,3.2,68.5
-79.93,43.17,HAMILTON A,1990-05,1990,5,16.7,5.7,124.5
-79.93,43.17,HAMILTON A,1990-06,1990,6,23.6,12.6,51.1
-79.93,43.17,HAMILTON A,1990-07,1990,7,25.7,15.2,77.4
-79.93,43.17,HAMILTON A,1990-08,1990,8,25,14.7,158.8
-79.93,43.17,HAMILTON A,1990-09,1990,9,19.9,10.2,56.3
-79.93,43.17,HAMILTON A,1990-10,1990,10,13.9,4.2,86.6
-79.93,43.17,HAMILTON A,1990-11,1990,11,9,-0.2,63.6
-79.93,43.17,HAMILTON A,1990-12,1990,12,3,-4.9,157.3
-79.93,43.17,HAMILTON A,1991-01,1991,1,-2.5,-9.5,29.4
-79.93,43.17,HAMILTON A,1991-02,1991,2,1.2,-5.6,27.1
-79.93,43.17,HAMILTON A,1991-03,1991,3,5.7,-2.7,108
-79.93,43.17,HAMILTON A,1991-04,1991,4,12.8,3.5,95
-79.93,43.17,HAMILTON A,1991-05,1991,5,21.9,10.3,65.7
-79.93,43.17,HAMILTON A,1991-06,1991,6,25.8,13.3,17.9
-79.93,43.17,HAMILTON A,1991-07,1991,7,26.7,14.5,135.5
-79.93,43.17,HAMILTON A,1991-08,1991,8,25.6,14.7,38.2
-79.93,43.17,HAMILTON A,1991-09,1991,9,21.5,8.5,24
-79.93,43.17,HAMILTON A,1991-10,1991,10,15.1,5.3,74.2
-79.93,43.17,HAMILTON A,1991-11,1991,11,6.2,-1.5,66.4
-79.93,43.17,HAMILTON A,1991-12,1991,12,2.2,-5.9,57.2
-79.93,43.17,HAMILTON A,1992-01,1992,1,-0.9,-7,58
-79.93,43.17,HAMILTON A,1992-02,1992,2,0,-7.4,55.4
-79.93,43.17,HAMILTON A,1992-03,1992,3,3.3,-5.6,31.6
-79.93,43.17,HAMILTON A,1992-04,1992,4,9.1,0.5,103.4
-79.93,43.17,HAMILTON A,1992-05,1992,5,18.4,6.3,55.9
-79.93,43.17,HAMILTON A,1992-06,1992,6,21.9,9.7,55.5
-79.93,43.17,HAMILTON A,1992-07,1992,7,22.5,12.9,189.4
-79.93,43.17,HAMILTON A,1992-08,1992,8,22.5,12.2,124.2
-79.93,43.17,HAMILTON A,1992-09,1992,9,20,9.3,110.3
-79.93,43.17,HAMILTON A,1992-10,1992,10,12.3,2.5,79.1
-79.93,43.17,HAMILTON A,1992-11,1992,11,5.7,-0.1,126.6
-79.93,43.17,HAMILTON A,1992-12,1992,12,1.2,-5.1,82.6
-79.93,43.17,HAMILTON A,1993-01,1993,1,-0.2,-7.1,103.9
-79.93,43.17,HAMILTON A,1993-02,1993,2,-3.6,-12.4,43
-79.93,43.17,HAMILTON A,1993-03,1993,3,1,-6.3,63.3
-79.93,43.17,HAMILTON A,1993-04,1993,4,11.2,1.1,86
-79.93,43.17,HAMILTON A,1993-05,1993,5,18.4,5.7,50.2
-79.93,43.17,HAMILTON A,1993-06,1993,6,22.5,11.8,152.5
-79.93,43.17,HAMILTON A,1993-07,1993,7,26.9,16.1,29.6
-79.93,43.17,HAMILTON A,1993-08,1993,8,26.8,15.1,55.2
-79.93,43.17,HAMILTON A,1993-09,1993,9,18.5,8.4,77.9
-79.93,43.17,HAMILTON A,1993-10,1993,10,12.9,2.3,99
-79.93,43.17,HAMILTON A,1993-11,1993,11,6.6,-0.6,58.6
-79.93,43.17,HAMILTON A,1993-12,1993,12,1.7,-5.9,35.1
-79.93,43.17,HAMILTON A,1994-01,1994,1,-7,-16.3,83.8
-79.93,43.17,HAMILTON A,1994-02,1994,2,-4,-13.3,45.7
